COD_CURSO;NOME_CURSO;AREA_CONHECIMENTO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;TIPO_COTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Baixa Renda e PPI;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Baixa Renda e PPI;M;0;1;0;3;0;0;0;4
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Renda Normal e Não PPI;M;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Renda Normal e PPI;M;0;1;0;2;0;0;0;3
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;N;Ampla concorrência;F;3;0;0;1;0;0;0;4
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;N;Ampla concorrência;M;2;0;0;1;0;0;0;3
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Desistência;N;Ampla concorrência;M;2;0;0;1;0;0;0;3
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Desistência;S;Baixa Renda e PPI;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;Ampla concorrência;F;0;1;0;0;0;0;0;1
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;Ampla concorrência;M;4;0;0;2;0;0;0;6
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Renda Normal e Não PPI;M;0;0;0;1;0;0;0;1
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Formado;N;Ampla concorrência;F;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Formado;N;Ampla concorrência;M;1;0;0;0;0;0;0;1
10 L;Física - Licenciatura;Educação;2019;2º Semestre;Formado;S;Renda Normal e Não PPI;M;1;0;0;0;0;0;0;1
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desistência;N;Ampla concorrência;M;2;0;0;0;0;0;0;2
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desistência;S;Baixa Renda e PPI;M;0;0;0;1;0;0;0;1
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;N;Ampla concorrência;M;1;0;0;0;0;0;1;2
12 B;Matemática - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Baixa Renda e Não PPI;F;1;0;0;0;0;0;0;1
12 L;Matemática - Licenciatura;Educação;2019;2º Semestre;Formado;N;Ampla concorrência;M;2;0;0;0;0;0;1;3
16;Estatística;Ciências naturais, matemática e estatística;2019;2º Semestre;Desistência;N;Ampla concorrência;F;0;0;0;1;0;0;0;1
16;Estatística;Ciências naturais, matemática e estatística;2019;2º Semestre;Desistência;N;Ampla concorrência;M;2;0;0;1;0;0;0;3
16;Estatística;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;N;Ampla concorrência;F;0;0;0;1;0;0;0;1
16;Estatística;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;N;Ampla concorrência;M;1;0;0;1;0;0;0;2
16;Estatística;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Renda Normal e Não PPI;F;0;0;0;1;0;0;0;1
16;Estatística;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Renda Normal e PPI;F;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desistência;N;Ampla concorrência;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desistência;S;Baixa Renda e PPI;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desistência;S;Renda Normal e PPI;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;Ampla concorrência;M;0;1;0;2;0;0;0;3
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Baixa Renda e Não PPI;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Baixa Renda e PPI;F;0;1;0;0;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Renda Normal e Não PPI;M;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;S;Renda Normal e PPI;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;N;Ampla concorrência;F;2;1;0;2;0;0;0;5
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;N;Ampla concorrência;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Baixa Renda e Não PPI;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Baixa Renda e PPI;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Baixa Renda e PPI;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Renda Normal e Não PPI;F;1;0;0;0;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Renda Normal e Não PPI;M;2;0;0;0;0;0;0;2
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Renda Normal e PPI;F;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Renda Normal e PPI;M;0;0;0;1;0;0;0;1
32 B;Química - Bacharelado;Ciências naturais, matemática e estatística;2019;2º Semestre;Formado;S;Reserva;F;0;0;0;1;0;0;0;1
32 L;Química - Licenciatura;Educação;2019;2º Semestre;Desligamento: Resolução 68/2017-CEPE;N;Ampla concorrência;M;1;0;0;1;0;0;0;2
