"","COD_CURSO","NOME_CURSO","AREA_CONHECIMENTO","ANO_EVASAO","PERIODO_EVASAO","FORMA_EVASAO","COTISTA","TIPO_COTA","SEXO","QTDE","ETNIA","FORMA_EVASAO_","FORMA_EVASAO_limpa","CURSO","MODALIDADE","SEXO_","ETNIA_","COTISTA_","QTDE_FORMADO","EVASAO","QTDE_TOTAL"
"1103","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Desistência","Não Cotista","Ampla concorrência","Masculino",2,"Branca","Desistência","Desistência","Matemática","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",2
"1104","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Desistência","Cotista","Renda Normal e PPI","Feminino",1,"Parda","Desistência","Desistência","Matemática","Bacharelado","Feminino","Parda","Cotista",0,"Evadido",1
"1105","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",1,"Parda","Desligamento: Resolução 68/2017-CEPE","Desligamento","Matemática","Bacharelado","Feminino","Parda","Não Cotista",0,"Evadido",1
"1106","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Feminino",1,"Não Declarada","Desligamento: Resolução 68/2017-CEPE","Desligamento","Matemática","Bacharelado","Feminino","Não Declarada","Não Cotista",0,"Evadido",1
"1107","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Masculino",2,"Branca","Desligamento: Resolução 68/2017-CEPE","Desligamento","Matemática","Bacharelado","Masculino","Branca","Não Cotista",0,"Evadido",2
"1108","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Masculino",4,"Preta","Desligamento: Resolução 68/2017-CEPE","Desligamento","Matemática","Bacharelado","Masculino","Preta","Não Cotista",0,"Evadido",4
"1109","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Desligamento: Resolução 68/2017-CEPE","Não Cotista","Ampla concorrência","Masculino",2,"Parda","Desligamento: Resolução 68/2017-CEPE","Desligamento","Matemática","Bacharelado","Masculino","Parda","Não Cotista",0,"Evadido",2
"1110","12 B","Matemática - Bacharelado","Ciências naturais, matemática e estatística",2019,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Preta","Formado","Formado","Matemática","Bacharelado","Feminino","Preta","Não Cotista",1,"Formado",1
"1111","12 L","Matemática - Licenciatura","Educação",2019,"1º Semestre","Adaptação Curricular","Não Cotista","Ampla concorrência","Masculino",1,"Preta","Adaptação Curricular","Adaptação Curricular","Matemática","Licenciatura","Masculino","Preta","Não Cotista",0,"Evadido",1
"1112","12 L","Matemática - Licenciatura","Educação",2019,"1º Semestre","Desistência","Cotista","Baixa Renda e PPI","Feminino",2,"Parda","Desistência","Desistência","Matemática","Licenciatura","Feminino","Parda","Cotista",0,"Evadido",2
"1113","12 L","Matemática - Licenciatura","Educação",2019,"1º Semestre","Desistência","Cotista","Renda Normal e PPI","Masculino",1,"Parda","Desistência","Desistência","Matemática","Licenciatura","Masculino","Parda","Cotista",0,"Evadido",1
"1114","12 L","Matemática - Licenciatura","Educação",2019,"1º Semestre","Formado","Não Cotista","Ampla concorrência","Feminino",0,"Branca","Formado","Formado","Matemática","Licenciatura","Feminino","Branca","Não Cotista",5,"Formado",5
